Index,Title,Rating,Views,Duration,Genre
48,48. Winner,6.5, (2.3K),1h 43m,Adventure
49,49. Monster Summer,5.7, (3.5K),1h 37m,Adventure
50,50. No Way Up,4.6, (10K),1h 30m,Adventure
51,51. Orion and the Dark,6.3, (17K),1h 33m,Adventure
52,52. The Unholy Trinity,7.9, (49),1h 33m,Adventure
53,53. A Sloth Story,5.6, (188),1h 30m,Adventure
54,54. Family Pack,5.5, (8.7K),1h 34m,Adventure
55,55. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Adventure
56,56. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Adventure
57,57. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m,Adventure
58,58. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Adventure
59,59. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Adventure
60,60. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Adventure
61,61. River of Blood,5.4, (1.6K),1h 26m,Adventure
62,62. Now or Never!,2.1, (17K),,Adventure
63,63. The Empire,5.2, (1.2K),1h 50m,Adventure
64,64. Bookworm,6.0, (1.8K),1h 43m,Adventure
65,65. Sasquatch Sunset,5.4, (5.3K),1h 28m,Adventure
66,66. Thelma the Unicorn,5.7, (2.9K),1h 33m,Adventure
67,67. Hanu Man,7.7, (29K),2h 38m,Adventure
68,68. Buffalo Kids,6.6, (646),1h 33m,Adventure
69,69. Something in the Water,4.1, (4.5K),1h 26m,Adventure
70,"70. I, the Executioner",6.3, (1.6K),1h 58m,Adventure
71,71. Raqa,5.9, (119),1h 47m,Adventure
72,72. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Adventure
73,73. That Christmas,6.8, (17K),1h 31m,Adventure
74,74. Badland Hunters,5.9, (12K),1h 47m,Adventure
75,75. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Adventure
76,76. Noah's Ark,4.3, (626),1h 36m,Adventure
77,77. The Courier,6.0, (4.3K),1h 41m,Adventure
78,78. Guest from the Future,6.0, (1.2K),2h 21m,Adventure
79,79. The Goat Life,7.1, (47K),2h 53m,Adventure
80,80. Manjummel Boys,8.2, (27K),2h 15m,Adventure
81,81. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Adventure
82,82. The Wages of Fear,4.6, (4.1K),1h 44m,Adventure
83,83. The Twisters,2.5, (315),1h 26m,Adventure
84,84. Ultraman: Rising,6.9, (6.2K),1h 57m,Adventure
85,85. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Adventure
86,86. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Adventure
87,87. Cult Killer,4.8, (2.7K),1h 45m,Adventure
88,88. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Adventure
89,89. The Lost Tiger,7.9, (40),1h 30m,Adventure
